sentence,depart,arrival
"Je souhaite aller de [depart] à [arrival], comment est-ce que je peux y arriver?",[depart],[arrival]
"La gare d'arrivée est [arrival], et je pars demain depuis [depart], par où je dois passer?",[depart],[arrival]
"J'ai une grosse teuf demain à Paris, et du coup je dois partir de la gare de [depart] pour arriver à [arrival] à 16h30, donne moi l'itinéraire que je dois prendre.",[depart],[arrival]
"Pouvez-vous m'indiquer le trajet le plus rapide de [depart] à [arrival]?",[depart],[arrival]
"Je cherche un train qui part de [depart] et arrive à [arrival], quelles sont mes options?",[depart],[arrival]
"Mon voyage commence à [depart] et se termine à [arrival], quels sont les horaires disponibles?",[depart],[arrival]
"Je dois me rendre de [depart] à [arrival] pour une réunion, quel est le meilleur itinéraire?",[depart],[arrival]
"La gare de départ est [depart], et je dois arriver à [arrival]. Pouvez-vous m'aider avec les correspondances?",[depart],[arrival]
"J'ai besoin de planifier un voyage de [depart] à [arrival], quelles sont les meilleures options?",[depart],[arrival]
"Je pars de [depart] demain matin et je dois être à [arrival] dans l'après-midi, comment puis-je organiser mon voyage?",[depart],[arrival]
"Pourriez-vous me dire comment aller de [depart] à [arrival] en train?",[depart],[arrival]
"Je cherche le trajet le plus direct entre [depart] et [arrival], pouvez-vous m'aider?",[depart],[arrival]
"Mon train part de [depart], mais je dois arriver à [arrival]. Quel est l'itinéraire recommandé?",[depart],[arrival]
"Je dois voyager de [depart] à [arrival], quels sont les trains disponibles?",[depart],[arrival]
"La gare de départ est [depart] et je dois me rendre à [arrival], pouvez-vous m'indiquer les correspondances?",[depart],[arrival]
"Quel est le meilleur moyen de se rendre de [depart] à [arrival] en train?",[depart],[arrival]
"Je dois être à [arrival] pour 18h, en partant de [depart]. Quels sont les horaires possibles?",[depart],[arrival]
"Y a-t-il des trains directs entre [depart] et [arrival], ou dois-je prévoir des correspondances?",[depart],[arrival]
"Pour mon voyage de [depart] à [arrival], quelles sont les options les plus économiques?",[depart],[arrival]
"J'aimerais réserver un billet de train de [depart] à [arrival] pour ce week-end. Pouvez-vous m'aider?",[depart],[arrival]
"Pour arriver à [arrival], quel train dois-je prendre depuis [depart]?",[depart],[arrival]
"Mon objectif est d'atteindre [arrival], mais je ne sais pas comment m'y rendre depuis [depart].",[depart],[arrival]
"Je dois être à [arrival] pour une réunion, et je partirai de [depart]. Quels sont les horaires disponibles?",[depart],[arrival]
"Le train pour [arrival] part-il de la gare de [depart] ou d'une autre gare?",[depart],[arrival]
"En partant de [depart], combien de temps faut-il pour rejoindre [arrival]?",[depart],[arrival]
"J'ai besoin d'arriver à [arrival] avant 18h, est-ce possible en partant de [depart] le matin?",[depart],[arrival]
"Y a-t-il des arrêts entre [depart] et [arrival], ou est-ce un trajet direct?",[depart],[arrival]
"Pour mon voyage de [depart] vers [arrival], je dois passer par Lyon. Quelles sont les meilleures correspondances?",[depart],[arrival]
"Je cherche un itinéraire qui me ferait partir de [depart], passer par Bordeaux, et finalement arriver à [arrival].",[depart],[arrival]
"Après avoir visité le Louvre à Paris, je dois me rendre de [depart] à [arrival]. Quels sont mes options?",[depart],[arrival]
"Le TGV de [depart] s'arrête-t-il à Dijon avant d'arriver à [arrival]?",[depart],[arrival]
"Pour assister à un festival à Cannes, je dois voyager de [depart] à [arrival]. Quel est le meilleur itinéraire?",[depart],[arrival]
"En passant par Marseille, comment puis-je me rendre de [depart] à [arrival]?",[depart],[arrival]
"Je commence mon voyage à [depart], mais avant d'arriver à [arrival], je voudrais m'arrêter à Strasbourg. Est-ce possible?",[depart],[arrival]
"Pour arriver à l'heure à ma conférence à [arrival], je dois quitter [depart] très tôt. Quels sont les premiers trains?",[depart],[arrival]
"Après mon séjour à Nice, je dois retourner à [depart], mais j'aimerais faire un détour par [arrival]. Comment organiser ce trajet?",[depart],[arrival]
"Le train de nuit pour [arrival] part-il toujours de la gare de [depart] à 22h?",[depart],[arrival]
"Je souhaite explorer Toulouse avant de continuer mon voyage de [depart] à [arrival]. Quelles sont les meilleures options?",[depart],[arrival]
"Pour mon trajet de [depart] à [arrival], y a-t-il une option qui me permettrait de voir le Mont Saint-Michel en chemin?",[depart],[arrival]
"Après ma visite à la Tour Eiffel, comment puis-je me rendre de [depart] à [arrival] le plus rapidement possible?",[depart],[arrival]
"Je dois assister à un mariage à Versailles, puis me rendre de [depart] à [arrival]. Quel serait le meilleur itinéraire?",[depart],[arrival]
"En arrivant à [arrival], je devrai immédiatement prendre une correspondance pour [depart]. Est-ce faisable en une journée?",[depart],[arrival]
"Pour mon voyage d'affaires, je dois partir de [depart], avoir une réunion à Lyon, puis terminer à [arrival]. Comment optimiser ce trajet?",[depart],[arrival]
"Après le festival de Cannes, je dois me rendre de [depart] à [arrival]. Quelles sont les options les plus rapides?",[depart],[arrival]
"Je souhaite visiter le château de Chambord sur mon trajet de [depart] à [arrival]. Est-ce possible et combien de temps cela ajouterait-il?",[depart],[arrival]
"Pour arriver à temps à mon mariage à [arrival], quel est le dernier train que je peux prendre depuis [depart]?",[depart],[arrival]
"Je dois être à Disneyland Paris à 10h, puis me rendre de [depart] à [arrival] dans la même journée. Est-ce réalisable?",[depart],[arrival]
"Si je quitte [depart] à 8h, à quelle heure puis-je espérer arriver à [arrival] au plus tôt?",[depart],[arrival]
"Y a-t-il des trains qui permettent de faire l'aller-retour dans la journée entre [depart] et [arrival]?",[depart],[arrival]
"Pour mon itinéraire de [depart] à [arrival], je voudrais éviter Paris. Est-ce possible?",[depart],[arrival]
"J'ai un rendez-vous à Nantes à 14h, puis je dois me rendre de [depart] à [arrival]. Comment puis-je organiser ce voyage?",[depart],[arrival]
"Le TGV de [depart] pour [arrival] offre-t-il un service de restauration à bord?",[depart],[arrival]
"Je dois transporter mon vélo de [depart] à [arrival]. Quels trains autorisent les vélos?",[depart],[arrival]
"Pour mon voyage scolaire, nous devons partir de [depart] et arriver à [arrival] avec 30 étudiants. Quelles sont nos options?",[depart],[arrival]
"Y a-t-il des travaux prévus sur la ligne entre [depart] et [arrival] qui pourraient affecter mon voyage la semaine prochaine?",[depart],[arrival]
"Je voudrais faire une escale d'une journée à Avignon lors de mon trajet de [depart] à [arrival]. Est-ce possible?",[depart],[arrival]
"Quel est le prix d'un billet en première classe pour le trajet de [depart] à [arrival]?",[depart],[arrival]
"Pour arriver à [arrival], je dois d'abord me rendre à [depart]. Y a-t-il des navettes entre ces deux gares?",[depart],[arrival]
"Je dois assister à une conférence à Lille, puis me rendre de [depart] à [arrival] le même jour. Est-ce faisable?",[depart],[arrival]
"Le train de [depart] à [arrival] dispose-t-il de prises électriques pour recharger mon ordinateur?",[depart],[arrival]
"J'ai une correspondance de seulement 15 minutes à Lyon entre mon train venant de [depart] et celui allant à [arrival]. Est-ce suffisant?",[depart],[arrival]
"Pour mon voyage de noces, nous voulons partir de [depart], visiter le château de Chenonceau, puis arriver à [arrival]. Comment organiser cela?",[depart],[arrival]
"Y a-t-il des offres promotionnelles pour les trajets fréquents entre [depart] et [arrival]?",[depart],[arrival]
"Je dois me rendre de [depart] à [arrival] avec ma grand-mère à mobilité réduite. Quels sont les trains les mieux adaptés?",[depart],[arrival]
"Pour mon trajet de [depart] à [arrival], je préfère voyager de nuit. Quelles sont les options disponibles?",[depart],[arrival]
"J'ai un vol qui arrive à l'aéroport Charles de Gaulle à 15h, puis je dois me rendre de [depart] à [arrival]. Est-ce réalisable dans la même journée?",[depart],[arrival]
"Le trajet de [depart] à [arrival] est-il couvert par le pass Interrail?",[depart],[arrival]
"Je dois être à [arrival] pour un entretien d'embauche à 10h. Quel est le train le plus sûr à prendre depuis [depart]?",[depart],[arrival]
"Pour mon voyage de [depart] à [arrival], je voudrais m'arrêter dans un vignoble en Bourgogne. Pouvez-vous me suggérer un itinéraire?",[depart],[arrival]
"Y a-t-il des trains à grande vitesse qui relient directement [depart] à [arrival] sans arrêt?",[depart],[arrival]
"Je dois me rendre de [depart] à [arrival] avec mon chien. Quelles sont les règles pour voyager avec un animal de compagnie?",[depart],[arrival]
"Pour mon trajet de [depart] à [arrival], je préfère les trains les moins bondés. Quels sont les horaires les moins fréquentés?",[depart],[arrival]
"J'ai une réunion importante à [arrival] mais je ne peux partir de [depart] qu'après 18h. Quelles sont mes options?",[depart],[arrival]
"Le train de [depart] à [arrival] offre-t-il un wagon-bar ou un service de restauration à la place?",[depart],[arrival]
"Je voudrais profiter du paysage pendant mon voyage de [depart] à [arrival]. Quel itinéraire offre les plus belles vues?",[depart],[arrival]
"Pour mon trajet de [depart] à [arrival], je dois transporter des bagages volumineux. Y a-t-il des restrictions ou des frais supplémentaires?",[depart],[arrival]
"J'ai besoin de travailler pendant mon voyage de [depart] à [arrival]. Y a-t-il des wagons silencieux ou des espaces de travail à bord?",[depart],[arrival]
"Pour me rendre à [arrival], quel est le meilleur itinéraire au départ de [depart]?",[depart],[arrival]
"[arrival] est ma destination finale, mais je ne sais pas comment m'y rendre depuis [depart]. Pouvez-vous m'aider?",[depart],[arrival]
"Je dois être à [arrival] pour 14h. Est-ce possible si je pars de [depart] le matin même?",[depart],[arrival]
"L'arrivée à [arrival] est prévue pour quelle heure si je prends le train de 8h à [depart]?",[depart],[arrival]
"À quelle fréquence y a-t-il des trains pour [arrival] au départ de [depart]?",[depart],[arrival]
"Ma destination est [arrival], mais je dois d'abord passer par Paris avant de partir de [depart]. Comment organiser ce voyage?",[depart],[arrival]
"Le trajet vers [arrival] depuis [depart] est-il direct ou y a-t-il des correspondances?",[depart],[arrival]
"Pour arriver à [arrival], dois-je changer de train si je pars de [depart]?",[depart],[arrival]
"[arrival] est l'endroit où se tient ma conférence, et je dois y être à 9h. À quelle heure dois-je quitter [depart]?",[depart],[arrival]
"Existe-t-il des trains de nuit pour [arrival] qui partent de [depart]?",[depart],[arrival]
"Le voyage jusqu'à [arrival] dure combien de temps lorsqu'on part de [depart]?",[depart],[arrival]
"Je cherche le train le moins cher pour [arrival]. Quelles sont les options si je pars de [depart]?",[depart],[arrival]
"[arrival] sera ma destination de vacances cet été. Quels sont les meilleurs horaires pour y aller depuis [depart]?",[depart],[arrival]
"Pour assister à un mariage à [arrival], je dois partir de [depart] la veille. Quels sont les derniers trains disponibles?",[depart],[arrival]
"L'arrivée à [arrival] est-elle accessible aux personnes à mobilité réduite si je voyage depuis [depart]?",[depart],[arrival]
"Y a-t-il des promotions pour les trajets vers [arrival] au départ de [depart] pendant les vacances scolaires?",[depart],[arrival]
"Le TGV pour [arrival] offre-t-il un service de restauration à bord lorsqu'il part de [depart]?",[depart],[arrival]
"J'ai une correspondance à [arrival] avant de continuer vers ma destination finale. Combien de temps ai-je si je pars de [depart]?",[depart],[arrival]
"Pour un voyage d'affaires à [arrival], je dois partir tôt de [depart]. Quel est le premier train du matin?",[depart],[arrival]
"La gare de [arrival] est-elle bien desservie par les transports en commun? J'arrive de [depart] et je dois me rendre en centre-ville.",[depart],[arrival]
"Un ami m'attendra à [arrival], mais je ne sais pas encore à quelle heure j'arriverai en partant de [depart]. Comment puis-je estimer l'heure d'arrivée?",[depart],[arrival]
"Le trajet vers [arrival] est-il pittoresque? Je pars de [depart] et j'aimerais profiter du paysage.",[depart],[arrival]
"Y a-t-il des travaux prévus sur la ligne entre [arrival] et [depart] qui pourraient affecter mon voyage la semaine prochaine?",[depart],[arrival]
"Pour une excursion d'une journée à [arrival], quel est le meilleur train à prendre depuis [depart] pour maximiser mon temps sur place?",[depart],[arrival]
"L'arrivée à [arrival] est-elle équipée de casiers pour les bagages? Je veux explorer la ville avant de prendre ma correspondance pour [depart].",[depart],[arrival]
"Existe-t-il un pass qui couvre les trajets fréquents entre [arrival] et [depart]? Je fais ce voyage toutes les semaines.",[depart],[arrival]
"La gare de [arrival] a-t-elle un service de location de voitures? J'arrive de [depart] et je dois continuer mon voyage en voiture.",[depart],[arrival]
"Pour un grand groupe se rendant à [arrival], quelles sont les options de réservation si nous partons tous de [depart]?",[depart],[arrival]
"Le dernier train pour [arrival] part à quelle heure de [depart]? Je ne veux pas le manquer.",[depart],[arrival]
"Y a-t-il des navettes directes entre l'aéroport de [arrival] et la gare? J'arrive en train de [depart] et je dois prendre un vol.",[depart],[arrival]
"Les quais de la gare de [arrival] sont-ils couverts? J'arrive de [depart] et la météo annonce de la pluie.",[depart],[arrival]
"Y a-t-il un service de taxi partagé entre la gare de [arrival] et le centre-ville pour les voyageurs venant de [depart]?",[depart],[arrival]
"Existe-t-il une application mobile pour suivre en temps réel mon train de [depart] à [arrival]?",[depart],[arrival]
"La gare de [arrival] propose-t-elle un service de livraison de bagages à l'hôtel pour les voyageurs arrivant de [depart]?",[depart],[arrival]
"Le trajet de [depart] à [arrival] passe-t-il par des vignobles? J'aimerais faire une dégustation de vin en route.",[depart],[arrival]
"Y a-t-il des places réservées aux femmes voyageant seules dans le train de nuit entre [depart] et [arrival]?",[depart],[arrival]
"La gare de [arrival] dispose-t-elle d'un espace de coworking? J'ai une réunion en visioconférence peu après mon arrivée de [depart].",[depart],[arrival]
"Puis-je réserver un service d'assistance pour ma grand-mère à mobilité réduite pour son voyage de [depart] à [arrival]?",[depart],[arrival]
"Y a-t-il des trains silencieux ou des wagons dédiés au travail sur la ligne entre [depart] et [arrival]?",[depart],[arrival]
"La gare de [arrival] propose-t-elle un service de location de poussettes? Nous arrivons de [depart] avec un bébé.",[depart],[arrival]
"Existe-t-il des forfaits train + visite guidée pour les touristes arrivant à [arrival] depuis [depart]?",[depart],[arrival]
"Le train de [depart] à [arrival] dispose-t-il de prises pour recharger les vélos électriques?",[depart],[arrival]
"Y a-t-il des casiers réfrigérés à la gare de [arrival] pour stocker des aliments frais? J'arrive de [depart] avec des produits locaux.",[depart],[arrival]
"La ligne entre [depart] et [arrival] offre-t-elle un service de divertissement à bord, comme des films ou de la musique?",[depart],[arrival]
"Existe-t-il un service de navette fluviale reliant la gare de [arrival] au centre-ville pour les voyageurs venant de [depart]?",[depart],[arrival]
"Le train de [depart] à [arrival] propose-t-il des compartiments privés pour les réunions d'affaires en déplacement?",[depart],[arrival]
"Y a-t-il un service de guide touristique virtuel pour découvrir [arrival] dès mon arrivée de [depart]?",[depart],[arrival]
"La gare de [arrival] dispose-t-elle d'un espace de stockage sécurisé pour les équipements de ski? Je viens de [depart] pour une semaine au ski.",[depart],[arrival]
"Existe-t-il un programme de fidélité pour les voyageurs fréquents sur la ligne [depart]-[arrival]?",[depart],[arrival]
"Le train de [depart] à [arrival] propose-t-il un menu gastronomique mettant en valeur les spécialités régionales?",[depart],[arrival]
"Y a-t-il des bornes de recharge pour voitures électriques à proximité de la gare de [arrival]? J'arrive de [depart] et je loue un véhicule électrique.",[depart],[arrival]
"La gare de [arrival] offre-t-elle un service de conciergerie pour les voyageurs en première classe venant de [depart]?",[depart],[arrival]
"Existe-t-il un wagon-bibliothèque ou un espace de lecture dans le train reliant [depart] à [arrival]?",[depart],[arrival]
"Y a-t-il des visites guidées de la gare historique de [arrival] pour les passagers arrivant de [depart]?",[depart],[arrival]
"Le train de [depart] à [arrival] dispose-t-il d'un espace dédié aux enfants avec des activités pour les longs voyages?",[depart],[arrival]
"La gare de [arrival] propose-t-elle un service de location de costumes régionaux pour les touristes venant de [depart]?",[depart],[arrival]
"Y a-t-il des espaces de méditation ou de yoga dans le train reliant [depart] à [arrival] pour les voyageurs stressés?",[depart],[arrival]
"Existe-t-il un service de livraison de repas locaux à bord du train entre [depart] et [arrival]?",[depart],[arrival]
"La gare de [arrival] dispose-t-elle d'un studio d'enregistrement pour les musiciens en tournée arrivant de [depart]?",[depart],[arrival]
"Y a-t-il un service de visite virtuelle de [arrival] disponible pendant le trajet depuis [depart]?",[depart],[arrival]
"De [depart], quel est le trajet le plus rapide pour rejoindre [arrival]?",[depart],[arrival]
"[depart] est mon point de départ, mais je ne sais pas comment me rendre à [arrival]. Pouvez-vous m'aider?",[depart],[arrival]
"En partant de [depart] à 7h du matin, à quelle heure arriverai-je à [arrival]?",[depart],[arrival]
"La gare de [depart] propose-t-elle des navettes directes vers l'aéroport de [arrival]?",[depart],[arrival]
"Depuis [depart], y a-t-il des trains à grande vitesse qui desservent [arrival]?",[depart],[arrival]
"Je commence mon voyage à [depart] et je dois être à [arrival] pour 18h. Quel train dois-je prendre?",[depart],[arrival]
"[depart] sera mon point de départ pour mes vacances. Quels sont les meilleurs horaires pour aller à [arrival]?",[depart],[arrival]
"À quelle fréquence les trains partent-ils de [depart] en direction de [arrival]?",[depart],[arrival]
"Le premier train du matin de [depart] pour [arrival] part-il assez tôt pour une réunion à 9h?",[depart],[arrival]
"Y a-t-il un service de bagagerie à [depart] où je peux laisser mes affaires avant de prendre le train pour [arrival]?",[depart],[arrival]
"Depuis [depart], existe-t-il des options de train de nuit pour se rendre à [arrival]?",[depart],[arrival]
"La gare de [depart] offre-t-elle un service de voiturier si je veux laisser ma voiture avant de prendre le train pour [arrival]?",[depart],[arrival]
"En partant de [depart], combien de correspondances sont nécessaires pour atteindre [arrival]?",[depart],[arrival]
"[depart] est-elle bien desservie en transports en commun pour rejoindre la gare et prendre un train vers [arrival]?",[depart],[arrival]
"Depuis [depart], y a-t-il des trains directs vers [arrival] ou dois-je prévoir des changements?",[depart],[arrival]
"La gare de [depart] dispose-t-elle d'un salon première classe où je peux attendre mon train pour [arrival]?",[depart],[arrival]
"En quittant [depart] tôt le matin, est-il possible de faire un aller-retour à [arrival] dans la journée?",[depart],[arrival]
"Y a-t-il des travaux prévus sur la ligne entre [depart] et [arrival] qui pourraient affecter mon voyage?",[depart],[arrival]
"Depuis [depart], quel type de train (TGV, Intercités, etc.) dessert la liaison vers [arrival]?",[depart],[arrival]
"La gare de [depart] offre-t-elle un service d'enregistrement des bagages pour les voyageurs se rendant à [arrival]?",[depart],[arrival]
"En partant de [depart], y a-t-il des arrêts pittoresques sur la route vers [arrival] où je pourrais faire une pause?",[depart],[arrival]
"[depart] propose-t-elle des forfaits train + hôtel pour un week-end à [arrival]?",[depart],[arrival]
"Depuis la gare de [depart], y a-t-il des navettes directes vers le centre-ville de [arrival]?",[depart],[arrival]
"Le trajet de [depart] à [arrival] est-il couvert par le pass Interrail?",[depart],[arrival]
"En quittant [depart], quelles sont les options de restauration à bord du train pour [arrival]?",[depart],[arrival]
"La gare de [depart] offre-t-elle un service de change de devises avant mon départ pour [arrival]?",[depart],[arrival]
"Depuis [depart], puis-je réserver un siège spécifique dans le train pour [arrival]?",[depart],[arrival]
"Y a-t-il des restrictions sur les bagages pour les voyageurs partant de [depart] vers [arrival]?",[depart],[arrival]
"En partant de [depart], existe-t-il des offres promotionnelles pour les voyages fréquents vers [arrival]?",[depart],[arrival]
"La gare de [depart] dispose-t-elle de bornes automatiques pour acheter des billets pour [arrival]?",[depart],[arrival]
"De [depart], quel est le trajet le plus rapide pour rejoindre [arrival]?",[depart],[arrival]
"[depart] est mon point de départ, mais je ne sais pas comment me rendre à [arrival]. Pouvez-vous m'aider?",[depart],[arrival]
"En partant de [depart] à 7h du matin, à quelle heure arriverai-je à [arrival]?",[depart],[arrival]
"La gare de [depart] propose-t-elle des navettes directes vers l'aéroport de [arrival]?",[depart],[arrival]
"Depuis [depart], y a-t-il des trains à grande vitesse qui desservent [arrival]?",[depart],[arrival]
"Je commence mon voyage à [depart] et je dois être à [arrival] pour 18h. Quel train dois-je prendre?",[depart],[arrival]
"[depart] sera mon point de départ pour mes vacances. Quels sont les meilleurs horaires pour aller à [arrival]?",[depart],[arrival]
"À quelle fréquence les trains partent-ils de [depart] en direction de [arrival]?",[depart],[arrival]
"Le premier train du matin de [depart] pour [arrival] part-il assez tôt pour une réunion à 9h?",[depart],[arrival]
"Y a-t-il un service de bagagerie à [depart] où je peux laisser mes affaires avant de prendre le train pour [arrival]?",[depart],[arrival]
"Depuis [depart], existe-t-il des options de train de nuit pour se rendre à [arrival]?",[depart],[arrival]
"La gare de [depart] offre-t-elle un service de voiturier si je veux laisser ma voiture avant de prendre le train pour [arrival]?",[depart],[arrival]
"En partant de [depart], combien de correspondances sont nécessaires pour atteindre [arrival]?",[depart],[arrival]
"[depart] est-elle bien desservie en transports en commun pour rejoindre la gare et prendre un train vers [arrival]?",[depart],[arrival]
"Depuis [depart], y a-t-il des trains directs vers [arrival] ou dois-je prévoir des changements?",[depart],[arrival]
"La gare de [depart] dispose-t-elle d'un salon première classe où je peux attendre mon train pour [arrival]?",[depart],[arrival]
"En quittant [depart] tôt le matin, est-il possible de faire un aller-retour à [arrival] dans la journée?",[depart],[arrival]
"Y a-t-il des travaux prévus sur la ligne entre [depart] et [arrival] qui pourraient affecter mon voyage?",[depart],[arrival]
"Depuis [depart], quel type de train (TGV, Intercités, etc.) dessert la liaison vers [arrival]?",[depart],[arrival]
"La gare de [depart] offre-t-elle un service d'enregistrement des bagages pour les voyageurs se rendant à [arrival]?",[depart],[arrival]
"En partant de [depart], y a-t-il des arrêts pittoresques sur la route vers [arrival] où je pourrais faire une pause?",[depart],[arrival]
"[depart] propose-t-elle des forfaits train + hôtel pour un week-end à [arrival]?",[depart],[arrival]
"Depuis la gare de [depart], y a-t-il des navettes directes vers le centre-ville de [arrival]?",[depart],[arrival]
"Le trajet de [depart] à [arrival] est-il couvert par le pass Interrail?",[depart],[arrival]
"En quittant [depart], quelles sont les options de restauration à bord du train pour [arrival]?",[depart],[arrival]
"La gare de [depart] offre-t-elle un service de change de devises avant mon départ pour [arrival]?",[depart],[arrival]
"Depuis [depart], puis-je réserver un siège spécifique dans le train pour [arrival]?",[depart],[arrival]
"Y a-t-il des restrictions sur les bagages pour les voyageurs partant de [depart] vers [arrival]?",[depart],[arrival]
"En partant de [depart], existe-t-il des offres promotionnelles pour les voyages fréquents vers [arrival]?",[depart],[arrival]
"La gare de [depart] dispose-t-elle de bornes automatiques pour acheter des billets pour [arrival]?",[depart],[arrival]